id,organization,rating_category,rating_content_descriptions
3790,1,6,"[29, 4]"
3810,1,3,[6]
3820,1,3,
3824,1,3,[6]
3838,1,3,
3839,1,5,"[3, 48]"
3848,1,5,[29]
3850,1,5,"[48, 24, 3]"
3851,1,5,"[6, 3, 48, 24]"
3852,1,5,[29]
3853,1,5,[31]
3879,1,5,"[15, 9]"
3891,1,6,"[2, 31]"
3894,2,10,[50]
3897,1,3,
3899,1,4,[29]
3904,1,4,"[48, 24]"
3905,2,12,
3911,1,4,[5]
3926,1,6,"[31, 2]"
3937,1,3,
3941,2,10,
3949,1,5,"[36, 29, 32]"
3982,1,6,"[14, 10, 4, 17]"
4000,1,5,"[32, 9, 26]"
4003,2,11,
4008,1,5,"[11, 29, 3]"
4024,2,9,
4033,2,10,
4034,1,5,"[2, 29]"
4059,2,10,
4065,1,5,"[36, 22, 33]"
4072,2,8,
4085,2,10,
4089,1,3,
4095,1,3,
4096,1,3,
4097,1,3,
4098,1,3,
4099,1,3,
4107,2,12,
4117,2,8,
4121,2,11,
4131,1,3,
4143,2,8,
4145,2,8,
4146,2,10,
4151,1,4,"[29, 2]"
4167,1,5,"[3, 24, 11, 7, 29]"
4186,1,3,
4199,1,5,"[24, 11, 3, 29]"
4216,2,10,
4218,2,10,
4229,1,5,"[3, 32, 36, 9, 1]"
4230,2,10,
4231,1,3,
4236,1,5,"[24, 3, 29, 11]"
4237,2,11,
4258,1,3,
4260,1,3,
4261,1,3,
4262,1,3,
4265,1,5,"[11, 36, 33]"
4266,2,11,
4280,1,3,
4281,2,8,
4285,2,12,"[50, 51, 55]"
4289,2,12,"[50, 55]"
4292,2,12,"[50, 55]"
4314,1,4,[9]
4321,2,12,"[51, 50, 55]"
4328,1,6,"[10, 15, 4]"
4333,2,8,[58]
4338,2,10,[50]
4342,2,8,
4345,2,12,"[50, 55, 58]"
4346,2,8,[58]
4348,1,5,"[26, 29, 3]"
4350,2,11,
4355,1,6,"[21, 29, 3]"
4358,1,5,"[11, 29, 3]"
4367,1,5,"[29, 3, 24, 11]"
4368,1,5,"[29, 32]"
4375,1,5,"[29, 32, 3]"
4383,1,5,"[29, 7, 24, 3]"
4395,2,10,
4422,1,4,"[29, 1]"
4449,1,3,
4450,2,8,
4453,1,5,"[31, 2]"
4454,2,10,
4459,1,5,"[29, 3]"
4460,2,10,[50]
4463,2,9,
4470,2,9,[50]
4471,1,3,
4483,1,5,"[9, 11, 35]"
4484,2,10,[50]
4486,2,10,[50]
4487,2,10,"[50, 55]"
4489,2,8,
4490,1,3,[47]
4491,2,8,
4492,1,3,
4496,2,10,"[55, 58]"
4498,1,6,"[29, 3]"
4499,2,12,[50]
4501,1,3,
4502,2,8,
4507,2,12,"[50, 55]"
4511,1,6,"[31, 46]"
4516,2,10,"[50, 51, 58]"
4522,2,12,"[50, 55, 58]"
4525,2,11,[50]
4530,2,12,"[50, 55, 57]"
4532,1,3,
4542,1,6,[21]
4546,1,6,"[4, 21, 29, 17, 8]"
4563,2,9,"[53, 58]"
4566,1,5,"[29, 6]"
4569,1,6,"[42, 29, 3]"
4570,2,10,[50]
4584,1,5,"[26, 3, 29, 24, 11]"
4585,2,10,"[50, 55]"
4591,1,3,[37]
4592,1,3,"[37, 32, 6]"
4593,1,5,"[29, 24]"
4596,2,8,[58]
4603,2,11,"[55, 50]"
4604,1,3,[48]
4611,2,11,"[50, 55]"
4613,2,10,"[50, 53]"
4622,1,3,[2]
4630,1,5,"[29, 24, 26, 7, 4]"
4631,2,11,"[50, 52]"
4634,1,5,"[4, 29, 7, 24, 26]"
4642,1,3,
4645,1,2,"[2, 1]"
4646,2,9,
4655,1,5,"[3, 32, 29]"
4667,2,12,
4673,2,12,
4681,1,3,[47]
4682,2,8,
4693,2,10,
4694,2,10,
4695,2,10,
4696,2,10,
4698,2,10,
4699,2,10,
4700,2,10,
4709,2,8,
4746,2,10,
4815,1,6,"[21, 10, 4]"
4816,2,10,
4818,2,10,
4821,2,8,
4822,2,8,
4824,1,3,
4851,2,10,
4864,2,8,
4865,2,8,
4867,2,8,
4870,2,12,"[50, 55, 58]"
4898,1,5,[47]
4899,2,8,
4912,1,6,"[4, 10, 18, 21]"
4915,1,3,[31]
4932,1,5,"[2, 31, 32]"
4937,1,5,"[26, 32]"
4967,1,5,[29]
4992,2,8,
4994,1,6,"[2, 31]"
4995,1,5,"[29, 7, 32]"
4999,1,3,[29]
5000,1,3,[29]
5001,1,3,[31]
5003,1,3,[31]
5005,1,3,"[2, 29]"
5016,2,8,
