id,name,rating,description
3450,ESRB,T,"Mild Suggestive Themes, Violence"
3460,ESRB,M,"Blood and Gore, Violence"
3465,ESRB,M,"Blood and Gore, Violence"
3467,ESRB,T,"Mild Violence, Mild Language"
3469,ESRB,E10+,Violence
3476,ESRB,E,no_description
3485,ESRB,M,"Violence, Blood and Gore"
3486,ESRB,M,"Intense Violence, Strong Language, Blood and Gore"
3489,ESRB,E,no_description
3490,ESRB,E,no_description
3535,ESRB,E,no_description
3537,ESRB,T,Mild Violence
3585,ESRB,E,no_description
3626,ESRB,E10+,Cartoon Violence
3649,ESRB,E,no_description
3667,ESRB,E,Mild Fantasy Violence
3668,ESRB,E,Fantasy Violence
3676,ESRB,E10+,no_description
3677,ESRB,E,no_description
3690,ESRB,E,no_description
3691,ESRB,E,no_description
3701,ESRB,E,no_description
3703,ESRB,E,no_description
3707,ESRB,T,Animated Violence
3724,ESRB,E,no_description
3737,ESRB,T,"Mild Fantasy Violence, Partial Nudity, Use of Drugs, Sexual Themes"
3755,ESRB,E10+,"Comic Mischief, Violence"
3762,ESRB,E,no_description
3763,ESRB,E,no_description
3765,ESRB,E,no_description
3779,ESRB,T,"Mild Cartoon Violence, Use of Alcohol, Mild Language, Suggestive Themes"
3782,ESRB,E,no_description
3785,ESRB,T,"Suggestive Themes, Mild Fantasy Violence, Alcohol Reference, Language"
3790,ESRB,M,"Violence, Blood and Gore"
3810,ESRB,E,Comic Mischief
3820,ESRB,E,no_description
3824,ESRB,E,Comic Mischief
3838,ESRB,E,no_description
3839,ESRB,T,"Blood, Mild Lyrics"
3848,ESRB,T,Violence
3850,ESRB,T,"Mild Lyrics, Suggestive Themes, Blood"
3851,ESRB,T,"Comic Mischief, Blood, Mild Lyrics, Suggestive Themes"
3852,ESRB,T,Violence
3853,ESRB,T,Animated Violence
3879,ESRB,T,"Partial Nudity, Fantasy Violence"
3891,ESRB,M,"Animated Blood, Animated Violence"
3894,PEGI,12,Violence
3897,ESRB,E,no_description
3899,ESRB,E10+,Violence
3904,ESRB,E10+,"Mild Lyrics, Suggestive Themes"
3905,PEGI,18,no_description
